<<<<<<< HEAD
﻿score,letter grade,gpa
0,F,0
2,F,0
4,F,0
6,F,0
8,F,0
10,F,0
12,F,0
14,F,0
16,F,0
18,F,0
20,F,0
22,F,0
24,F,0
26,F,0
28,F,0
30,F,0
32,F,0
34,F,0
36,F,0
38,F,0
40,F,0
42,F,0
44,F,0
46,F,0
48,F,0
50,F,0
52,F,0
54,F,0
56,F,0
58,F,0
60,D,1
62,D,1
64,D,1
66,D,1
68,D,1
70,D,1
72,D,1
74,D,1
76,C,2
78,C+,2.3
80,B-,2.7
82,B-,2.7
84,B,3
86,B,3
88,B+,3.3
90,A-,3.7
92,A-,3.7
94,A,4
96,A,4
98,A,4
100,A,4
59,F,0
61.7,D,1
64.4,D,1
67.1,D,1
69.8,D,1
72.5,D,1
75.2,C,2
77.9,C+,2.3
80.6,B-,2.7
83.3,B,3
86,B,3
88.7,B+,3.3
91.4,A-,3.7
94.1,A,4
96.8,A,4
=======
﻿score,letter grade,gpa
0,F,0
2,F,0
4,F,0
6,F,0
8,F,0
10,F,0
12,F,0
14,F,0
16,F,0
18,F,0
20,F,0
22,F,0
24,F,0
26,F,0
28,F,0
30,F,0
32,F,0
34,F,0
36,F,0
38,F,0
40,F,0
42,F,0
44,F,0
46,F,0
48,F,0
50,F,0
52,F,0
54,F,0
56,F,0
58,F,0
60,D,1
62,D,1
64,D,1
66,D,1
68,D,1
70,D,1
72,D,1
74,D,1
76,C,2
78,C+,2.3
80,B-,2.7
82,B-,2.7
84,B,3
86,B,3
88,B+,3.3
90,A-,3.7
92,A-,3.7
94,A,4
96,A,4
98,A,4
100,A,4
59,F,0
61.7,D,1
64.4,D,1
67.1,D,1
69.8,D,1
72.5,D,1
75.2,C,2
77.9,C+,2.3
80.6,B-,2.7
83.3,B,3
86,B,3
88.7,B+,3.3
91.4,A-,3.7
94.1,A,4
96.8,A,4
>>>>>>> 579b0bf1a55d39c60fe7beceaa336e584357bda4
99.5,A,4
